docno	text
128	"🔻
Today in Gaza, there are no longer funeral processions—only for lifeless bodies, due to the massacres, as if these bodies never belonged to anyone! As if they hadn’t once had dreams they wished to fulfill in their lives! Curse be upon the Zionists.

#IsraeliNewNazism
@Gaza7o https://t.co/nJJS6MNlCs"
129	"@AvivaKlompas @DouglasKMurray The place to visit would be Gaza, as it's there that images of children without heads are coming from. But nobody is allowed in to that concentration camp. 
One could also visit the West Bank to witness massacres/abductions 1st hand too.. Lebanon.Syria. Will you listen then? No?"
130	@Alpha_A1912 @VjosaOsmaniPRKS @RTErdogan Has there been any news of massacres from Cyprus in the last 50 years? The Greeks were doing to the Turks what Israel did in Gaza. If the Turks come, peace will come.
131	"Jordanian Foreign Minister:
“The priority now is to stop the massacres, the horrific killings, and the destruction in the Gaza Strip. Action must be taken to halt the aggression and end the suffering of the Palestinian people.”
#Gaza_War #Gaza #Jordan #Hamas 

By:"
132	Israeli Zionism tramples on international law and commits genocide in #Gaza. Standing up against injustice is a humanitarian duty. Remaining silent about Israel's massacres is complicity with it.
133	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/ugqZP8LHqx via @YouTube
134	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/IF2l21TZ8o via @YouTube
135	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/FqxRbQwK0x via @YouTube
136	Demonstration in the Norwegian capital Oslo to denounce the ongoing massacres in the occupation's war of extermination in Gaza. https://t.co/lqwtmAGC1X
137	@schizoretard18 Even if it was real, phuqqing who cares about it after the massacres in Gaza?
138	120 demonstrations took place today in 60 #Moroccan cities in support of #Gaza and in condemnation of the Israeli occupation’s crimes and massacres in the Strip. https://t.co/MsgFJPpvNC
139	A demonstration was held in Oslo, the capital of Norway, in solidarity with Palestine and to denounce the ongoing Israeli massacres in Gaza. https://t.co/5xc6kBtDUD
140	"🚫Palestinians in northern Gaza witnessed a bloody night as Israel continued it massacres against civilians. 

The director of Indonesian Hospital told Al Jazeera that the facility recorded 43 Palestinian deaths and 83 injuries. https://t.co/1gCWat1PBe"
141	"A demonstration in the Norwegian capital, #Oslo, to denounce the ongoing massacres in the war of extermination carried out by the Israeli occupation in #Gaza.

#Palestine 
#Norway 
@qudsn 
https://t.co/RVCFrQ6iO4"
142	The bodies of the martyrs continue to be transferred for burial after a bloody night in which the occupation carried out several massacres against families in the Gaza Strip. https://t.co/wt3rFjWNG1
143	"Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman (12th April 2025)
Israel massacres across the Gaza Strip for six weeks. Has closed all crossings for food, fuel, medicines, construction vehicles and every other essential supplies.
https://t.co/ZHTjpWq8WV"
144	"World must #SaveTheChidrenWorldWide,

We can’t be #silent when #Genocide is #EthnicCleansing #Palestinian women and children in #Gaza by use of blockade, #Hunger &amp; #massacres.

Defend #FreePalestine &amp; appeal for #CeasefireNOW https://t.co/KAg700vxaf"
145	@MelanieforTrump @mjgranger1 @MilaLovesJoe @ColumbiaAlumniA @Columbia You can’t speak out against the holocaust and WWII massacres and then not care when it happens to people in Gaza. And you can’t pick to only care about victims if Oct 7 or victims in Gaza. Because it’s all the same. The violent massacre of civilians.
146	"@pillars_is10898 periodic ""mowing of the lawn"" (massacres) in Gaza every few years, seige on Gaza. You want articles of these?"
147	"@amnestyusa tell the Jewish students who are against the massacres &amp; genoicde in Gaza to protest what is happening to  the Palestinian student--
Israelis marched against Netanyahu by the thousands ---"
148	"@ScottHech Jewish students &amp; other students supported the Palestinian students protesting the massacres &amp; genocide in Gaza--
&amp; our bombs-
are they all going to jail-?"
149	"@RepJayapal WTF-genocidal gas chambers in Gaza
 with our bombs- 
 students who protest  are put in F-ing jail-there are many Jewish students who  protest with the Palestinian students-
-are they jailing Jewish student,  too?
no country is doing shit to stop the massacres--WTF"
150	@AdameMedia helping Palestinians in Gaza but massacres thousands of Uyghurs https://t.co/kHhayq1aRk
151	"@RepAOC -WTF-Israeli's don't want the leader they have-they marched by the thousands- against him--
Jewish students don't want the massacres 
&amp; genocide happening in Gaza-
-WTF"
152	"Industrial-scale genocide by butcher-state Israel (11 April 2025):  ""Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman""  💔🇵🇸 🍉🇨🇦   https://t.co/8KejfYp0I5"
153	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/U70X1slPZN via @YouTube
154	"🔻
Today in Gaza, there are no longer funeral processions—only for lifeless bodies, due to the massacres, as if these bodies never belonged to anyone! As if they hadn’t once had dreams they wished to fulfill in their lives! Curse be upon the Zionists.

#IsraeliNewNazism
@Gaza7o https://t.co/vlHxbTPCe6"
155	"Netanyahu wants endless war in Gaza. But most Israelis don't want to fight anymore

Macron is the man of the hour
No need to wait for Saudi Arabia
Netanyahu must be stopped urgently
The massacres of Palestinians must stop once &amp; for all
Israel out of Gaza
https://t.co/5fzVRLFf8O"
156	THE GAZA HOLOCAUST ATROCITIES OF THE DAY:   Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/L7OnmwWXcF via @YouTube
157	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/0PgRH27Jl0 via @YouTube
158	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/S0vufzYWUy
159	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/1brk2PE44b via @YouTube
160	"🚨Over the past several hours, the criminal American-backed IOF has carried out several strikes and massacres across the (https://t.co/cDwAhhrAs5) #Gaza Strip.

7 martyrs have ascended as a result of a zionist bombing of the Abu Deeb family home in Bani Suhaila. https://t.co/zqxlWRiMcT"
161	"Here, in Gaza, children are dying before the eyes of the world.

What kind of cruelty buries the innocence of childhood under the rubble? What kind of justice allows these massacres to continue?

Gaza bleeds, its children are being slaughtered,and the unjust world watches. https://t.co/sOngsmZH9n"
162	"@Dasweisseferkel @TheDavidPiv @ryanMcRogers The holocaust was part of a systemic effort to ethnically cleanse Western Europe of Jews, through expulsions &amp; massacres.
The ""War in Gaza"" is part of a systemic effort to ethnically cleanse Greater Israel of Palestinians through expulsions &amp; engineered starvation &amp; massacres."
163	@MSphere90 @raven72551 @QudsNen They're always going on about the massacres, but all they publish are doctored images, scenes staged by horrible actors, photos of sick children pretending to be starving, and photos from other countries pretending to be in Gaza. Why is that? Is it because they're lying?
164	@Timesofgaza God is sufficient for us, and He is the best Disposer of affairs. These are scenes that make the body shudder and the heart tremble with their cruelty. O God, have mercy on us if these massacres do not awaken our consciences. O God, be a helper to our oppressed people in Gaza.
165	@RealAmosMcCoy @brandilwells Sabbatai Tzevi, born 1626 in Smyrna, was a Jewish mystic who claimed to be the Messiah, sparking the Sabbatean movement. His charisma drew thousands during tough times like the Chmielnicki massacres. Key events include his 1665 proclamation in Smyrna, backed by Nathan of Gaza’s https://t.co/0zQx1uawSY
166	@Yahya_Sinvar_ God is sufficient for us, and He is the best Disposer of affairs. These are scenes that make the body shudder and the heart tremble with their cruelty. O God, have mercy on us if these massacres do not awaken our consciences. O God, be a helper to our oppressed people in Gaza.
167	"@IanCarrollShow @ConceptualJames The types who cheer &amp; defend the massacres in Gaza

1. Zionists

2. Influencers &amp; politicians who are bought💰to send  🇺🇸 soldiers to a war
-Of course they won’t volunteer 

3. Vets who are paid by Zionists to normalize the death of Muslims as children"
168	"🔻
Today in Gaza, there are no longer funeral processions—only for lifeless bodies, due to the massacres, as if these bodies never belonged to anyone! As if they hadn’t once had dreams they wished to fulfill in their lives! Curse be upon the Zionists.

#IsraeliNewNazism
@Gaza7o https://t.co/Dy5pIzVGLS"
169	"@jdotcazares @AvivaKlompas @DouglasKMurray 80% of the people in Gaza were Hamas supporters and celebrating their massacres of innocents of all ages on Oct 7th and 8th.
Their choices, zealous sociopathic thirst for ‘vengeance’ and Islamism with disregard for life is what got their own innocents killed! 
#FuckEm"
170	120 demonstrations took place today in 60 Moroccan cities in support of Gaza and in condemnation of the Israeli occupation’s crimes and massacres in the Strip. https://t.co/Is0KtDFbm9
171	120 demonstrations took place today in 60 Moroccan cities in support of Gaza and in condemnation of the Israeli occupation’s crimes and massacres in the Strip. https://t.co/Ik76olrcJZ
172	"@MaxAbrahms We targeted ROTC and pissed off a lot of kids whose classes were cancelled....

 Many protesting last year were Jewish. If our constitution lets Nazis march in Skokie,  folks can protest the massacres in Gaza as well as Hamas crimes. The key is that the protests are nonviolent."
173	@JCBLU15 @TheSlayerking9 @ScenesInFilm We used to believe that the American Army had morals and discipline before supporting the massacres and brutality in Gaza
174	@RealAmVoice @VoteRandyFine @AmandaHead One thing to consider before Iran demands nuclear weapons is for peace, security, and prosperity to prevail in the world: eliminate Zionism and stop Israel's terrorism, massacres, and genocide in Gaza.
175	"@Timesofgaza @SaveTheChildren @CIJ_ICJ
The silent ones who witness the massacres and genocide crimes committed by the Israeli entity in Gaza—ongoing for over a year and five months—their silence is what allows the extermination to continue.  #GazaGenocide #Israel_crimes 
#IsraelkillsChildren"
176	"@SaveTheChildren @CIJ_ICJ
The silent ones who witness the massacres and genocide crimes committed by the Israeli entity in Gaza—ongoing for over a year and five months—their silence is what allows the extermination to continue.  #GazaGenocide #Israel_crimes 
#IsraelkillsChildren https://t.co/GtaCBMZw5o"
177	"🔻
Today in Gaza, there are no longer funeral processions—only for lifeless bodies, due to the massacres, as if these bodies never belonged to anyone! As if they hadn’t once had dreams they wished to fulfill in their lives! Curse be upon the Zionists.

#IsraeliNewNazism
@Gaza7o https://t.co/og5js8HMtO"
178	"@LordWaldemarPL @grok @badriarawi Yes, Poland has a very negative view on Muslims due to Islamophobia and persecution of Muslims. But Islam is rapidly spreading in Europe. 
https://t.co/7lCKN8ivkw"
179	"Demonstrations took place today in 60 Moroccan cities in support of Gaza and in condemnation of the Israeli occupation’s crimes and massacres in the Strip.

#Morocco https://t.co/PbyRAeHwED"
180	"120 demonstrations took place today in 60 Moroccan cities in support of #Gaza and in condemnation of the zionist occupation’s crimes and massacres in the Strip.

#Gaza #WestBankGenocide #PalestineGenocide #IsraelTerroristState #GazaGenocide #GazaHolocaust #Palestine https://t.co/biICGizG8d"
181	"🔻
Today in Gaza, there are no longer funeral processions—only for lifeless bodies, due to the massacres, as if these bodies never belonged to anyone! As if they hadn’t once had dreams they wished to fulfill in their lives! Curse be upon the Zionists.

#IsraeliNewNazism
@Gaza7o https://t.co/o1056JpsEr"
182	"🔻
Today in Gaza, there are no longer funeral processions—only for lifeless bodies, due to the massacres, as if these bodies never belonged to anyone! As if they hadn’t once had dreams they wished to fulfill in their lives! Curse be upon the Zionists.

#IsraeliNewNazism
@Gaza7o https://t.co/QUz0A4ll0N"
183	Breaking | 120 demonstrations took place today in 60 Moroccan cities in support of Gaza and in condemnation of the Israeli occupation’s crimes and massacres in the Strip. https://t.co/QHHjwlKY7J
184	120 demonstrations took place today in 60 Moroccan cities in support of Gaza and in condemnation of the Israeli occupation’s crimes and massacres in the Strip. https://t.co/l964MYYCpO
185	@zafarmirzo Where is the good and evil and where is the humanity towards the massacres taking place in Gaza? https://t.co/HJ8MjUe4DD
186	@Sarini44 @IanCarrollShow @DouglasKMurray Israel just blew up the only cancer hospital in Gaza which they used as a military base. Also Israel just massacred 15 aid workers and tried to hide their bodies to hide evidence of the illegal massacres of aid workers.
187	"Breaking | 120 demonstrations took place today in 60 #Moroccan cities in support of Gaza and in condemnation of the Israeli occupation’s crimes and massacres in the Strip.
🇵🇸 I will not stop talking about #Gaza.
#Anonymous 
#FreePalestine
#FreeGaza
#OpGaza
#OpIsrael https://t.co/Dg5c7ilMq9"
188	Breaking | 120 demonstrations took place today in 60 Moroccan cities in support of Gaza and in condemnation of the Israeli occupation’s crimes and massacres in the Strip. https://t.co/TV3fI3md5S
189	Breaking | 120 demonstrations took place today in 60 Moroccan cities in support of Gaza and in condemnation of the Israeli occupation’s crimes and massacres in the Strip. https://t.co/Kqym6L7k2j
190	"🇮🇱⚔️🇵🇸 The massacre of Palestinian civilians continues in the Gaza Strip after more than 600 days, and massacres are being committed against innocent children and women by the genocidal 🇮🇱 Israeli regime.

A new massacre was committed against the Abu Al-Aoun family in the https://t.co/xEXmKQaK5J"
191	"IOF escalation continues, with today distinguished by two separate forced evacuation orders from eastern Gaza City (Shuja'iyya, to beyond Salah Al-Din axis) and eastern Khan Younis (Khuza'a, Abasan).

Horrific massacres resulted in 10 martyrs in the Al-Farra family in Khan Younis https://t.co/Pos64ONQhB"
192	@aboelyas1988 @Ndawsari Terrorism is what supports the massacres and genocide and what is happening in Gaza, you fools
193	"🔻
Today in Gaza, there are no longer funeral processions—only for lifeless bodies, due to the massacres, as if these bodies never belonged to anyone! As if they hadn’t once had dreams they wished to fulfill in their lives! Curse be upon the Zionists.

#IsraeliNewNazism
@Gaza7o https://t.co/t6KY6z1f83"
194	"Most Americans hold unfavourable views of Israel yet their Reps and @realDonaldTrump take $$Billions of US taxpayers' money and send it to Israel to continue its massacres and pulverisation of Palestinians.
https://t.co/qeAwJPeHXQ"
195	"Takbirs resound from the mosques of the Beddawi camp in northern Lebanon, in response to the call of the Palestinian Scholars Association, in support of Gaza and in condemnation of the occupation's crimes and massacres.

Allah Akbar ☝🏻 https://t.co/rKrL9sdrOK"
196	"🔻
Today in Gaza, there are no longer funeral processions—only for lifeless bodies, due to the massacres, as if these bodies never belonged to anyone! As if they hadn’t once had dreams they wished to fulfill in their lives! Curse be upon the Zionists.

#IsraeliNewNazism
@Gaza7o https://t.co/1m73LPxfR1"
197	They say an agreement is near—but how can we believe that when the world watches in silence as the massacres continue? Today alone, eastern Gaza was bombed brutally, and once again, our people were forced to flee. We’re tired—so tired. Our hearts can no longer carry the weight.
198	"🔻
Today in Gaza, there are no longer funeral processions—only for lifeless bodies, due to the massacres, as if these bodies never belonged to anyone! As if they hadn’t once had dreams they wished to fulfill in their lives! Curse be upon the Zionists.
🔻
اليوم في غزة لم يعد هناك https://t.co/XR61M8YA71"
199	"Sources 

https://t.co/GvrNJTD2ro
 
https://t.co/YtBQ6uSSb5 

https://t.co/V46Jy3nR3E 

https://t.co/cPCvA0h4ht 

https://t.co/CfwZ3Gko0w

https://t.co/lKHP0MVrBc

https://t.co/gWmCSeZsdd

https://t.co/O415Gn1oMt

https://t.co/5djfd6m8W9

https://t.co/Lp0x50mUfs"
200	"#Enemy_Media

Spokesperson for the “Israeli” occupation army: A combat officer was moderately wounded during clashes with an armed cell in the southern Gaza Strip.

#Military_Media"
201	@TheBirdNL @BBCWorld Release the 2000 in Zionists' dungeons. End the annexation and occupation of Palestine. Lift the siege on Gaza. End the military rule of the West Bank. Hamas was founded 40 years after the Nakba. End the Zionist regime. #FreePalestine!
202	Israel’s Advance into Gaza Lays Ground for Full-Scale Occupation https://t.co/vcqfEeehuO
203	"🚨 Zionist occupation forces stormed the town of Beit Lid, east of Tulkarm, in the #West_Bank, and military vehicles were deployed in the town's streets.
Lands were stolen by the occupation, and displacement continues.

#GazaGenocide #GazaHolocaust #PalestinianLivesMatter #Gaza"
204	"⛔️ Explosion sweeps Israel: Thousands of elite army and academics reject continuation of war on Gaza, what will Netanyahu do? ⛔️

🔹 Netanyahu woke up this morning to a petition refusing to continue the war on Gaza, signed by 100 military doctors.

🔹 After the occupation spent https://t.co/yyL5MfP0wB"
205	Breaking | Israeli occupation military vehicles open fire at civilians in southern Khan Younis, south of the Gaza Strip. https://t.co/CI6CNaerAs
206	"« A Tunisian lawyer files a lawsuit with the military prosecution against singer ""Chi Mimouni"" for participating with the occupation army in the war on Gaza. » Thank you sir 🙏 https://t.co/gXnk4iw73W"
207	"@sarah_kalsoom @IanCarrollShow @TheHarrisSultan @DouglasKMurray Sarah, you do realize how ignorant you sound, don’t you?

1-Are you seriously implying that Gaza was occupied before October 7th?

2-Occupied by whom, exactly? What ""occupation"" are you referring to? Gaza hasn't had an Israeli military presence since the disengagement in 2005."
208	"Middle East Monitor: The Israeli occupation army today reissued urgent evacuation warnings to residents of seven neighbourhoods in eastern Gaza City and three towns in southern Gaza, threatening military strikes in those areas.

https://t.co/IW86wj0MVL https://t.co/w2tjowW8rp"
209	@MadMadMadWorld_ @ComicDaveSmith Riddle me this you Son of a bitch, what about the west bank where there is no hamas, no access from gaza but only israel military occupation, settler expansion and military raids on a daily basis?
210	"Israeli occupation officials estimate that Hamas has expanded its military ranks to 40,000 combatants, according to a report by Israeli newspaper Haaretz.

#Hamas #Gaza #Israel #Trump #USA https://t.co/loRa9Iy1oS"
211	"The Israeli occupation army today reissued urgent evacuation warnings to residents of seven neighbourhoods in eastern Gaza City and three towns in southern Gaza, threatening military strikes in those areas.

In a statement, Avichay Adraee, the Israeli army spokesperson, ordered https://t.co/s6xBSW2KSi"
212	“Israel controls more of Gaza than at any point during the war, part of a plan that officials increasingly describe as leading to a full military occupation” https://t.co/EFXqvyczGF
213	"""Israel controls more of Gaza than at any point during the war, part of a plan that officials increasingly describe as leading to a full military occupation.""

See how the IDF's 'buffer zone' has expanded 👇

🗺️Map w/ @TomFevrier 
1/3 https://t.co/KycmLoU1Qu https://t.co/TtVddIN4r9"
214	"Military correspondent Doron Kadosh updates:

Progress in ground activity in the Gaza Strip on the eve of the holiday: IDF forces are completing the establishment of the ""Moragh Corridor"" tonight, and the occupation of the entire area of ​​the corridor .

Over the past few days, https://t.co/eUb0EHfpZ3"
215	"#In_the_West_Bank #Gaza
In the West Bank, the occupation forces deployed large military reinforcements and continued raids and arrests, targeting journalists and women, particularly as the occupation's Passover holiday approaches."
216	"Palestinians were often left without control over their land, livelihoods, and future.

2. Military Occupation: Since 1967, Israel has occupied the West Bank and Gaza Strip, maintaining a military presence that restricts movement, controls resources, and enforces a complex legal https://t.co/4s7qC4h1F6"
217	After the complete destruction &amp; occupation of #Gaza, #Pakistan's Grand Mufti Taqi Usmani, has declared military action against Israel as an obligation on all #Muslims. First, watch the spectacle of destruction, when it is all over, declare jihad. What a peaceful concept of Jihad https://t.co/N3cE51hhRL
218	"@king_danyul @MimiVonPeach @creepingdarkly @TadhgHickey Never said Jordan is illegitimate—you’re just deflecting because you can’t address the facts.
Since you’re asking:
Occupation = Israel’s military control over Gaza, the West Bank &amp; East Jerusalem.
Apartheid = different laws, rights &amp; treatment based on ethnicity.
Not my"
219	"#URGENT
In a press release, Hamas called for global action to thwart the occupation's plans in #Gaza.

The movement considered the occupation's destruction of #Rafah and the establishment of a new axis there to be nothing more than a desperate attempt to score a military victory. https://t.co/LdhXFp4VN5"
220	"@mishtal Gaza has been officially classified as being under Israeli military occupation since 2012.

That speaks volumes for the rest of your gaslighting tripe."
221	"@elonmusk STOP bombing Gaza; stop the genocide.
STOP killing Palestinian civilians under brutal military occupation"
222	“The occupation announces new evacuations and calls on citizens to immediately leave other areas in the Shuja'iyya, Zeitoun, and Tuffah neighborhoods east of Gaza City, in preparation for expanding ground military operations there.” https://t.co/HoJQuRt24c
223	"#gaza
⚫ Saraya Al-Quds - Nablus Brigade:
—
Our fighters, alongside their brothers, were able to engage in fierce battles, at dawn today, with the invading occupation forces across several axes surrounding the Old City. They showered the infantry forces and military"
224	"@evildrummer @mishtal @QuantumFlux36 That's a lie

Israel didn't ""leave gaza""
They withdrew its brutal military occupation and built a wall around Gaza and laid siege to the people inside.

That's not a good faith peace offering,  it's a change of strategy towards the same outcome: killing gaza and it's people"
225	"There's a vast amount of footage now in general public circulation.

All of it shows IDF bases, not domestic areas being captured by indigenous Palestinians.

Detained occupation Prisoners of War who were taken into custody in Gaza are clearly identifiable as military combatants. https://t.co/7gn7J72nw4"
226	@ProfAvenarius @ShalomWise @netanyahu I half agree, but all Israel had the right to do was to end the occupation and make reparations to Palestinians, who they ethnically cleansed into Gaza and diaspora in the first place. Israel lost the right to any kind of military action against Palestinians LONG before 10 7 23.
227	After the complete destruction &amp; occupation of Gaza, Pakistan's Grand Mufti Taqi Usmani, has declared military action against Israel as an obligation on all Muslims. First, watch the spectacle of destruction, when it is all over, declare jihad. What a peaceful concept of Jihad. https://t.co/PhpENCXfXL
228	Israel believes a full military occupation of Gaza would improve its chances of definitively uprooting Iranian-backed Hamas. But the move would bring myriad risks. https://t.co/EOHOLHCcBo
229	"@mmax_1979 @dembidembi11 @SaulStaniforth EUROPEAN JEWS STARTED A WAR BY STEALING LAND, GO BACK TO POLAND MFER

Palestine is not a sovereign state. They have no state dummy. 

Gaza is under military occupation! 

Palestinians have the right to self-determination. 

Hamas didn’t exist in 1948, HASBARA REJECTED https://t.co/toZ6k5j5Tj"
230	Video:  State Department Spox Asked About Reported Israeli Plan For A ‘Full Military Occupation Of Gaza’ https://t.co/A5JbrVadVE #LiveTube
231	@emilykschrader Dude it's a military occupation. Israel never left the west bank, and they left gaza and left the blockade on it. It's a concentration camp. What the hell are u talking about??
232	@ColinBarnes16 @VividProwess zionist colonization started in 1878. the military occupation of the green line area started in 1948. the occupation of Gaza started in 1967. Palestinians were fully within their rights to reject partition. zionists had no right to expel anyone for any reason.
233	@fawadchaudhry After the complete destruction &amp; occupation of Gaza, Pakistan's  Muftis and Ulamas , has declared military action against Israel as an obligation on all Muslims. when it is all over, declare jihad. 👋
234	Here’s a page glorifying a foreign army which at the time, of course, was overseeing a brutal military occupation of the West Bank &amp; Gaza — places that according to this school didn’t even exist. It also whitewashes the ethnic cleansing of 🇵🇸 &amp; 🇮🇱’s numerous wars of aggression. https://t.co/wcAGToLRGz
235	@lavinia_colzani @Ostrov_A @antonioguterres It’s a military occupation which is why Israel’s has had to (by international humanitarian law) provide basics to Gaza because nothing / nobody has gotten in or out of Gaza w/o the express permission of Israel for nearly 2 decades.
236	@fawadchaudhry After the complete destruction &amp; occupation of Gaza, Pakistan's  Muftis and Ulamas , has declared military action against Israel as an obligation on all Muslims. when it is all over, declare jihad. 👋
237	"Gaza Government Media Office 

The ""Israeli"" occupation has transformed Rafah Governorate into a ""closed military operations zone,"" completely isolating it from the rest of the Gaza Strip governorates, considering it a complete red zone. 

#Gaza #Palestine"
238	@adnanaadil After the complete destruction &amp; occupation of Gaza, Pakistan's  Muftis and Ulamas , has declared military action against Israel as an obligation on all Muslims. when it is all over, declare jihad. 👋
239	@realikramnasim After the complete destruction &amp; occupation of Gaza, Pakistan's  Muftis and Ulamas , has declared military action against Israel as an obligation on all Muslims. when it is all over, declare jihad. 👋
240	@bushra_ik After the complete destruction &amp; occupation of Gaza, Pakistan's  Muftis and Ulamas , has declared military action against Israel as an obligation on all Muslims. when it is all over, declare jihad. 👋
241	@scruffy_looken Israel does not fully occupy Gaza but maintains significant control. After withdrawing settlements in 2005, Israel still controls Gaza's borders, airspace, and sea access, alongside frequent military operations. The UN and many experts call this an occupation due to restrictions
242	Israel’s Advance into Gaza Lays Ground for Full-Scale Occupation https://t.co/EqBAtvM0OI
243	@kidmars222 @VividProwess @Osint613 Hamas is a Palestinian Sunni-Islamic group founded in 1987 during the first Intifada, a revolt against Israeli occupation. It’s known for governing Gaza since 2007 and resisting Israel through both political and military means, including its armed wing, the Izz ad-Din al-Qassam
244	After the complete destruction &amp; occupation of Gaza, Pakistan's Grand Mufti Taqi Usmani, has declared military action against Israel as an obligation on all Muslims. First, watch the spectacle of destruction, when it is all over, declare jihad. What a peaceful concept of Jihad. https://t.co/xP2llnYhM6
245	After the complete destruction &amp; occupation of Gaza, Pakistan's Grand Mufti Taqi Usmani, has declared military action against Israel as an obligation on all Muslims. First, watch the spectacle of destruction, when it is all over, declare jihad. What a peaceful concept of Jihad. https://t.co/aemw1Isb9B
246	Israel controls more of Gaza than at any point during the war, part of a plan that officials increasingly describe as leading to a full military occupation https://t.co/5wKS0NSfdB via @EthanBronner
247	"#gaza @sec_council
The occupation is carrying out bulldozing and establishing a military site east of the Bahloul station, east of Rafah city, south of the Gaza Strip"
248	@viejojudio @NerdeenKiswani @DrPhil No xionazi scum occupation isn't only referring to physical military presence. Xionazis control, air, water, electricity, resources like the natural gas of Gaza which you sell to Europe, imports (you're forbidding exports), movement from and to the Gaza strip.
249	"Despite 18 months of military operations in Gaza, Israeli occupation forces have reportedly destroyed only 25% of the tunnels used by the Palestinian resistance in the strip, according to a Haaretz security source.

The reports emerge as Israel renews its offensive across https://t.co/zOM1BUjMVB"
250	"@gazanotice Many Israeli occupation military servicemen confessed that they are following extremist religious doctrine to wipe out Gaza. 🔻🐝
https://t.co/1hZ5L2mjrO"
251	"@Jenna_Nober @havivrettiggur @BheriaMS Also the continuous military occupation of West Bank and Gaza are modern day examples of Israel continuing this practice.

The Arabs there are kept without any rights and as a ""separate state"" to ensure they do not upset the demographic balance as gradual replacement ensues.

3"
252	Israel's military operation in Gaza has laid the groundwork for a potential full-scale occupation, according to @Bloomberg  analysts. The incursion follows months of escalating tensions and aims to curb rocket attacks. However, the move risks triggering a wider conflict and https://t.co/xp3foDcQiW
253	"#Israel controls more of #Gaza than at any point during the war that started 18 months ago. It's part of a plan that Israeli officials increasingly say will lead to a full military occupation. It's a high-stakes gamble from Netanyahu's government.

https://t.co/ji7APfDBcC https://t.co/BB25nA3RvX"
254	Israel controls more of Gaza than at any point during the war, part of a plan that officials increasingly describe as leading to a full military occupation https://t.co/I08J1mFTUz
255	"3/7
1967: The Occupation expands.
Israel took control of the West Bank, East Jerusalem, and Gaza.
Military checkpoints, walls, ID cards, surveillance.
Life became a daily struggle under apartheid conditions."
256	"Grok is correct: ""It's inaccurate to call it a war because it’s an asymmetric conflict: Israel is a state with a powerful military, while Palestinian groups like Hamas lack a formal army, and Gaza’s civilian population suffers disproportionately, resembling an occupation or"
257	@KarlTaters @Jtan329 @ChineseEmbinUS US military bases in US occupied southern Korea. The US took over occupation from the Japanese in a war against Korean farmers. The US bombed all of the cities of the North into the ground, much like their present attacks on Gaza via their proxy Israel. https://t.co/lenQGT6kdV
258	@TomAtkinso39813 @TiceRichard Gaza has never been part of Israel but it has been under illegal Israeli military occupation
259	"From the Nakba in 1948 to the siege of Gaza today, Israel has violated international law and countless UN resolutions. Supporting Palestine means standing against 75 years of forced displacement, military occupation, and systematic oppression.. 
#Palestine #Israel"
260	@Mathilda_comet @SaulStaniforth Israel handed Gaza to the Palestinians, forcibly removing Israeli settlers. Hamas then took control and started attacking Israel with genocidal intent. Israel imposed a legal military blockade. No occupation. Egypt also sealed their border with Gaza due to terrorism.
261	"The moment Israeli occupation troops detained Palestinian journalist Samer Khatira from his home during a military raid in Nablus, in the occupied West Bank.
#Gaza_Genocide #ENHYPEN #LaCasaDeLosFamososCol
#ENHYPEN #PSLX #BoycottPSL10 https://t.co/e3q2ust00B"
262	"WATCH | The moment zionist occupation troops detained #Palestinian journalist Samer Khatira from his home during a military raid in #Nablus , in the occupied West Bank.

#Gaza #WestBankGenocide #PalestineGenocide #IsraelTerroristState #GazaGenocide #GazaHolocaust #Palestine"
263	"#gaza
The occupation forces send military reinforcements to storm the eastern area of #Nablus from the Awarta checkpoint"
264	"1 hour ago -
#Israeli #occupation military reinforcements storm the eastern area of #Nablus from the #Awarta checkpoint.

🇵🇸 I will not stop talking about #Gaza.
#OpGaza #Palestine #FreePalestine #Anonymous #OpIsrael #ChildrenOfGaza https://t.co/tQQP1g9zcD"
265	West Bank: Israel occupied the West Bank in 1967. While Israel withdrew its military and settlements from the Gaza Strip in 2005, the West Bank remains under Israeli military occupation. The Palestinian Authority exercises limited self-rule in parts of the West Bank.
266	@RedNatGreene @feyway @AyoCaesar The flip side of your disingenuous question is that Israel doesn't count civilian deaths in Gaza. To them all Palestinians should be eliminated. This intention to murder all persons in Gaza has been explicitly stated repeatedly by Israeli politicians/ military. End the Occupation
267	"@burnwhilereadng @ousmannoor @SenSanders ""There was no occupation before Oct 7th” is either willful ignorance or straight-up propaganda.

Israel’s military occupation of Gaza didn’t magically start on Oct 7th — it’s been going on for decades. Gaza's been under a crippling blockade since 2007, with land, sea, and air"
